"","gene","Category"
"1","ADAR","DDD2015"
"2","PAFAH1B1","DDD2015"
"3","CAMTA1","DDD2015"
"4","SCN2A","DDD2015"
"5","FOXP2","DDD2015"
"6","CHAMP1","DDD2015"
"7","IQSEC2","DDD2015"
"8","SLC2A1","DDD2015"
"9","AFF2","DDD2015"
"10","GDI1","DDD2015"
"11","TBL1XR1","DDD2015"
"12","L1CAM","DDD2015"
"13","DYNC1H1","DDD2015"
"14","KAT6A","DDD2015"
"15","AUTS2","DDD2015"
"16","SCN1A","DDD2015"
"17","DEAF1","DDD2015"
"18","SRPX2","DDD2015"
"19","AP1S2","DDD2015"
"20","GLI2","DDD2015"
"21","ZNF711","DDD2015"
"22","DEPDC5","DDD2015"
"23","SLC6A1","DDD2015"
"24","SOX11","DDD2015"
"25","KCNA2","DDD2015"
"26","DNM1","DDD2015"
"27","PHF21A","DDD2015"
"28","TUBB2A","DDD2015"
"29","HCN1","DDD2015"
"30","STXBP1","DDD2015"
"31","PRRT2","DDD2015"
"32","KCNC1","DDD2015"
"33","CHRNB2","DDD2015"
"34","SCN8A","DDD2015"
"35","GABRB3","DDD2015"
"36","GRIN2B","DDD2015"
"37","CTCF","DDD2015"
"38","DDX3X","DDD2015"
"39","ZDHHC9","DDD2015"
"40","DCX","DDD2015"
"41","NRXN2","DDD2015"
"42","SPTAN1","DDD2015"
"43","GNAO1","DDD2015"
"44","FRMD7","DDD2015"
"45","ZIC2","DDD2015"
"46","GRIN2A","DDD2015"
"47","WDR45","DDD2015"
"48","BCL11A","DDD2015"
"49","RAD51","DDD2015"
"50","GFAP","DDD2015"
"51","NRXN1","DDD2015"
"52","ALG13","DDD2015"
"53","PLP1","DDD2015"
"54","FMR1","DDD2015"
"55","POGZ","DDD2015"
"56","TUBA1A","DDD2015"
"57","TUBB","DDD2015"
"58","SHANK3","DDD2015"
"59","PURA","DDD2015"
"60","UBE2A","DDD2015"
"61","KIF5C","DDD2015"
"62","YY1","DDD2015"
"63","SETD5","DDD2015"
"64","PIK3R2","DDD2015"
"65","SYNGAP1","DDD2015"
"66","STX1B","DDD2015"
"67","GABRA1","DDD2015"
"68","SLC9A6","DDD2015"
"69","PIGA","DDD2015"
"70","SIK1","DDD2015"
"71","RAB39B","DDD2015"
"72","PCGF2","DDD2015"
"73","GATAD2B","DDD2015"
"74","KCNT1","DDD2015"
"75","PTCHD1","DDD2015"
"76","CDON","DDD2015"
"77","TGIF1","DDD2015"
"78","TUBB4A","DDD2015"
"79","NLGN3","DDD2015"
"80","FOXG1","DDD2015"
"81","ADNP","DDD2015"
"82","SIX3","DDD2015"
"83","CHRNA4","DDD2015"
"84","KIF2A","DDD2015"
"85","KANSL1","DDD2015"
"86","TSPAN7","DDD2015"
"87","TRIO","DDD2015"
"88","GRIA3","DDD2015"
"89","GRIN1","DDD2015"
"90","PAK3","DDD2015"
"91","TUBB3","DDD2015"
"92","CNKSR2","DDD2015"
"93","COL4A3BP","DDD2015"
"94","FTSJ1","DDD2015"
"95","IL1RAPL1","DDD2015"
"96","SHANK2","DDD2015"
"97","TUBB2B","DDD2015"
"98","CTNNB1","DDD2015"
"99","SYN1","DDD2015"
"100","CCDC22","DDD2015"
"101","BRWD3","DDD2015"
"102","PPP2R5D","DDD2015"
"103","DLG3","DDD2015"
"104","HCFC1","DDD2015"
"105","ITPR1","DDD2015"
"106","WAC","DDD2015"
"107","CHD8","DDD2015"
"108","HNRNPU","DDD2015"
"109","SYP","DDD2015"
"110","SOX5","DDD2015"
"111","FOXP1","DDD2015"
"112","PHF8","DDD2015"
"113","CHD2","DDD2015"
"114","PACS1","DDD2015"
"115","GSPT2","DDD2015"
"116","PPP2R1A","DDD2015"
"117","MAOA","DDD2015"
"118","AFF4","DDD2015"
"119","KIAA2022","DDD2015"
"120","AHDC1","DDD2015"
"121","CDKL5","DDD2015"
"122","KCNB1","DDD2015"
"123","EEF1A2","DDD2015"
"124","ZBTB20","DDD2015"
"125","SHANK1","DDD2015"
"126","TBR1","DDD2015"
"127","SCN3A","DDD2015"
"128","SET","DDD2015"
"129","PDE10A","DDD2015"
"130","GNB1","DDD2015"
"131","EIF2S3","DDD2015"
"132","HIVEP2","DDD2015"
"133","KMT2B","DDD2015"
"134","SETD1A","DDD2015"
"135","HNRNPH2","DDD2015"
"136","GRIN2D","DDD2015"
"137","FGF12","DDD2015"
"138","HECW2","DDD2015"
"139","FRMPD4","DDD2015"
"140","USP27X","DDD2015"
"141","CHD8","Aut_Sanders2015"
"142","SCN2A","Aut_Sanders2015"
"143","ARID1B","Aut_Sanders2015"
"144","NRXN1","Aut_Sanders2015"
"145","SYNGAP1","Aut_Sanders2015"
"146","DYRK1A","Aut_Sanders2015"
"147","CHD2","Aut_Sanders2015"
"148","ANK2","Aut_Sanders2015"
"149","KDM5B","Aut_Sanders2015"
"150","ADNP","Aut_Sanders2015"
"151","POGZ","Aut_Sanders2015"
"152","SUV420H1","Aut_Sanders2015"
"153","SHANK2","Aut_Sanders2015"
"154","TBR1","Aut_Sanders2015"
"155","GRIN2B","Aut_Sanders2015"
"156","DSCAM","Aut_Sanders2015"
"157","KMT2C","Aut_Sanders2015"
"158","PTEN","Aut_Sanders2015"
"159","SHANK3","Aut_Sanders2015"
"160","TCF7L2","Aut_Sanders2015"
"161","TRIP12","Aut_Sanders2015"
"162","SETD5","Aut_Sanders2015"
"163","TNRC6B","Aut_Sanders2015"
"164","ASH1L","Aut_Sanders2015"
"165","CUL3","Aut_Sanders2015"
"166","KATNAL2","Aut_Sanders2015"
"167","WAC","Aut_Sanders2015"
"168","NCKAP1","Aut_Sanders2015"
"169","RANBP17","Aut_Sanders2015"
"170","KDM6B","Aut_Sanders2015"
"171","ILF2","Aut_Sanders2015"
"172","DNMT3A","Aut_Sanders2015"
"173","GIGYF1","Aut_Sanders2015"
"174","WDFY3","Aut_Sanders2015"
"175","SPAST","Aut_Sanders2015"
"176","KAT2B","Aut_Sanders2015"
"177","MYT1L","Aut_Sanders2015"
"178","SLC6A1","Aut_Sanders2015"
"179","PHF2","Aut_Sanders2015"
"180","ZNF559","Aut_Sanders2015"
"181","BCL11A","Aut_Sanders2015"
"182","MFRP","Aut_Sanders2015"
"183","FOXP1","Aut_Sanders2015"
"184","GABRB3","Aut_Sanders2015"
"185","MIB1","Aut_Sanders2015"
"186","P2RX5","Aut_Sanders2015"
"187","TRIO","Aut_Sanders2015"
"188","KMT2E","Aut_Sanders2015"
"189","ETFB","Aut_Sanders2015"
"190","NINL","Aut_Sanders2015"
"191","CTTNBP2","Aut_Sanders2015"
"192","INTS6","Aut_Sanders2015"
"193","USP45","Aut_Sanders2015"
"194","CAPN12","Aut_Sanders2015"
"195","OR52M1","Aut_Sanders2015"
"196","DIP2A","Aut_Sanders2015"
"197","AKAP9","Aut_Sanders2015"
"198","NAA15","Aut_Sanders2015"
"199","APH1A","Aut_Sanders2015"
"200","IRF2BPL","Aut_Sanders2015"
"201","ACHE","Aut_Sanders2015"
"202","NLGN3","Aut_Sanders2015"
"203","MBD5","Aut_Sanders2015"
"204","PTK7","Aut_Sanders2015"
"205","ERBB2IP","Aut_Sanders2015"
"206","CDH13","Aut_Sanders2015"
"207","ARID1B","DDD2017"
"208","ANKRD11","DDD2017"
"209","DDX3X","DDD2017"
"210","ADNP","DDD2017"
"211","KMT2A","DDD2017"
"212","SYNGAP1","DDD2017"
"213","SCN2A","DDD2017"
"214","DYRK1A","DDD2017"
"215","SETD5","DDD2017"
"216","MECP2","DDD2017"
"217","ASXL3","DDD2017"
"218","STXBP1","DDD2017"
"219","KCNQ2","DDD2017"
"220","PPP2R5D","DDD2017"
"221","MED13L","DDD2017"
"222","CTNNB1","DDD2017"
"223","SATB2","DDD2017"
"224","WDR45","DDD2017"
"225","TCF4","DDD2017"
"226","EP300","DDD2017"
"227","FOXP1","DDD2017"
"228","CDK13","DDD2017"
"229","SMC1A","DDD2017"
"230","PURA","DDD2017"
"231","TBL1XR1","DDD2017"
"232","GATAD2B","DDD2017"
"233","HDAC8","DDD2017"
"234","PACS1","DDD2017"
"235","SLC6A1","DDD2017"
"236","AHDC1","DDD2017"
"237","GNAO1","DDD2017"
"238","HNRNPU","DDD2017"
"239","KANSL1","DDD2017"
"240","CSNK2A1","DDD2017"
"241","KAT6B","DDD2017"
"242","GRIN2B","DDD2017"
"243","CHD2","DDD2017"
"244","ALG13","DDD2017"
"245","KAT6A","DDD2017"
"246","CDKL5","DDD2017"
"247","POGZ","DDD2017"
"248","MEF2C","DDD2017"
"249","EHMT1","DDD2017"
"250","GNAI1","DDD2017"
"251","CASK","DDD2017"
"252","IQSEC2","DDD2017"
"253","SMAD4","DDD2017"
"254","CTCF","DDD2017"
"255","CREBBP","DDD2017"
"256","SMARCA2","DDD2017"
"257","NAA10","DDD2017"
"258","CHAMP1","DDD2017"
"259","PPM1D","DDD2017"
"260","NSD1","DDD2017"
"261","COL4A3BP","DDD2017"
"262","DNM1","DDD2017"
"263","CNKSR2","DDD2017"
"264","CNOT3","DDD2017"
"265","KIF1A","DDD2017"
"266","SCN1A","DDD2017"
"267","MSL3","DDD2017"
"268","KCNH1","DDD2017"
"269","KCNQ3","DDD2017"
"270","BCL11A","DDD2017"
"271","EEF1A2","DDD2017"
"272","WAC","DDD2017"
"273","PTEN","DDD2017"
"274","ZBTB18","DDD2017"
"275","PDHA1","DDD2017"
"276","NFIX","DDD2017"
