lines	xist_group	xist_expr	num_escape_genes	num_observed_genes	cluster	clusterName
HPSI0414i-oikd_2	High-XIST female	7.55054242809514	6	80	3	G1
HPSI0714i-nufh_4	High-XIST female	7.53006671545904	3	62	3	G1
HPSI0914i-vaka_5	High-XIST female	7.51361056536403	13	85	3	G1
HPSI0314i-qonc_2	High-XIST female	7.48889242730472	11	69	3	G1
HPSI0814i-doao_2	High-XIST female	7.46686209558942	9	70	3	G1
HPSI0714i-nufh_3	High-XIST female	7.46498134007431	7	63	3	G1
HPSI0714i-keui_1	High-XIST female	7.43695818121764	10	70	3	G1
HPSI0614i-oicx_2	High-XIST female	7.42124264066101	17	67	3	G1
HPSI0814i-doao_1	High-XIST female	7.35209086122133	6	67	3	G1
HPSI1014i-tixi_4	High-XIST female	7.33414537194531	16	102	3	G1
HPSI0314i-xagu_1	High-XIST female	7.27224062190841	7	83	3	G1
HPSI0514i-qihv_1	High-XIST female	7.26278127693671	16	71	3	G1
HPSI0514i-kuco_1	High-XIST female	7.24653293452682	10	76	3	G1
HPSI1213i-pahc_4	High-XIST female	7.24230383861787	16	71	3	G1
HPSI0614i-uevq_6	High-XIST female	7.22264329910075	6	94	3	G1
HPSI0714i-kute_4	High-XIST female	7.21643721818736	7	90	3	G1
HPSI0715i-aowh_2	High-XIST female	7.20834840153086	5	68	3	G1
HPSI0114i-eipl_3	High-XIST female	7.20831552253628	8	71	3	G1
HPSI0115i-iiyk_2	High-XIST female	7.18725688375055	9	75	3	G1
HPSI0614i-uevq_4	High-XIST female	7.17567803148454	7	85	3	G1
HPSI0614i-qunz_3	High-XIST female	7.17296788809257	16	82	3	G1
HPSI0114i-lexy_1	High-XIST female	7.16186970650216	32	67	2	G2
HPSI0215i-uiao_1	High-XIST female	7.14085948225524	14	83	3	G1
HPSI0514i-sohd_2	High-XIST female	7.12461088447477	9	77	3	G1
HPSI0614i-oicx_6	High-XIST female	7.12316922735391	16	71	3	G1
HPSI0114i-vabj_3	High-XIST female	7.06591263336655	10	57	3	G1
HPSI0514i-kuco_5	High-XIST female	7.06400124748797	19	76	3	G1
HPSI0914i-gine_2	High-XIST female	7.05812626634381	6	83	3	G1
HPSI0914i-zerv_7	High-XIST female	7.05537211538994	8	74	3	G1
HPSI0115i-qoog_4	High-XIST female	7.04444198756997	10	65	3	G1
HPSI0115i-iiyk_4	High-XIST female	7.03248881766829	16	78	3	G1
HPSI0414i-uawq_2	High-XIST female	7.01368971231278	13	74	3	G1
HPSI0115i-sehp_2	High-XIST female	6.99857329462139	19	76	3	G1
HPSI0514i-sohd_3	High-XIST female	6.98240676546544	18	84	3	G1
HPSI1113i-vuud_2	High-XIST female	6.97451591246949	35	72	2	G2
HPSI0714i-keui_4	High-XIST female	6.96365625279121	8	66	3	G1
HPSI0314i-cuhk_1	High-XIST female	6.92822829295414	19	88	3	G1
HPSI0814i-bokz_6	High-XIST female	6.87009378411635	18	65	3	G1
HPSI0115i-hecn_6	High-XIST female	6.84652815550391	12	68	3	G1
HPSI0414i-seru_7	High-XIST female	6.80017264314211	16	80	3	G1
HPSI0414i-sebn_4	High-XIST female	6.79549888463929	9	58	3	G1
HPSI0414i-oikd_5	High-XIST female	6.77714986578218	10	77	3	G1
HPSI0514i-yelp_3	High-XIST female	6.73168784746001	15	71	3	G1
HPSI1014i-nosn_1	High-XIST female	6.71107046257755	17	81	3	G1
HPSI0514i-suul_2	High-XIST female	6.61916769611575	15	64	3	G1
HPSI0514i-suul_1	High-XIST female	6.61448032900773	16	69	3	G1
HPSI1113i-wahn_1	High-XIST female	6.59778788398618	19	76	3	G1
HPSI0414i-sebn_3	High-XIST female	6.58225516316011	11	64	3	G1
HPSI0115i-uolo_5	High-XIST female	6.56119451014483	22	91	3	G1
HPSI0514i-wiii_3	High-XIST female	6.51505233958751	21	62	2	G2
HPSI0114i-rozh_4	High-XIST female	6.47998115972574	14	70	3	G1
HPSI0914i-zerv_8	High-XIST female	6.44768260749052	15	77	3	G1
HPSI0614i-lepk_4	High-XIST female	6.41213193540731	19	76	3	G1
HPSI0414i-seru_1	High-XIST female	6.40189675913594	18	81	3	G1
